timestamp,car,speed_kmh,rpm,gear,throttle,brake,accel_ms2,jerk,label
1778050577.695479,beam,112.98,3344,3,79.3,0.0,0.457,-0.226,racing
1778050007.7474227,beam,86.43,2529,3,31.35,0.0,0.003,0.33,normal
1778049941.1334617,beam,78.88,2301,3,25.4,0.0,0.125,0.955,normal
1778050149.6057692,beam,62.87,1874,3,18.65,0.0,-0.274,0.735,normal
1778050928.6072886,beam,97.92,2885,3,46.83,0.0,0.319,0.716,racing
1778050703.8154037,beam,81.95,3712,2,100.0,7.94,0.741,2.466,racing
1778050738.5034432,beam,127.96,3605,3,46.83,0.0,0.154,1.688,racing
1778050130.265657,beam,91.89,2632,3,29.36,0.0,0.051,-0.004,normal
1778049812.2774162,beam,0.99,748,1,0.0,0.0,0.552,-1.313,normal
1778050144.4076366,beam,70.85,1755,3,0.0,0.0,-0.779,-3.485,normal
1778050013.146373,beam,87.74,2518,3,27.78,0.0,0.057,0.071,normal
1778050816.1493895,beam,106.07,2821,3,0.0,46.83,-5.278,-44.293,racing
1778050726.9757912,beam,130.12,3667,3,49.6,0.0,0.099,-0.207,racing
1778050983.324216,beam,109.6,2903,3,0.0,0.0,-0.976,0.804,racing
1778050689.63285,beam,36.81,3099,1,13.49,0.0,0.87,-10.672,racing
1778050683.5215228,beam,45.19,770,3,0.0,0.0,-0.917,0.846,racing
1778050910.779044,beam,112.69,4905,2,100.0,0.0,0.841,-0.546,racing
1778049911.048855,beam,69.91,2140,3,26.98,0.0,0.105,-1.133,normal
1778050560.9341824,beam,73.31,3380,2,78.91,0.79,1.143,-2.882,racing
1778050867.6393628,beam,82.52,3736,2,100.0,0.0,1.294,-1.017,racing
1778050532.4564295,beam,141.25,4012,3,91.02,0.0,0.381,0.079,racing
1778050675.9242177,beam,104.69,3100,3,57.03,0.0,0.404,-0.026,racing
1778050498.885512,beam,62.6,2988,2,66.8,0.0,0.759,-0.403,racing
1778050079.777571,beam,80.82,2358,3,26.98,0.0,0.082,0.069,normal
1778050665.3306372,beam,110.4,3260,3,70.7,0.0,0.517,1.803,racing
1778050099.254157,beam,85.56,2476,3,27.78,0.0,0.089,0.539,normal
1778049826.2804868,beam,57.84,2095,3,34.13,0.0,0.583,0.014,normal
1778050532.978782,beam,141.97,4028,3,90.23,0.0,0.406,0.045,racing
1778050675.817805,beam,104.54,3096,3,57.81,0.0,0.407,1.047,racing
1778049841.010679,beam,77.64,2334,3,30.55,0.0,0.224,0.35,normal
1778050702.629907,beam,78.8,3598,2,100.0,5.95,1.368,3.683,racing
1778050847.8632157,beam,122.26,3572,3,100.0,0.0,0.838,-1.432,racing
1778049920.26203,beam,75.27,2237,3,26.59,0.0,0.22,0.339,normal
1778050949.5219784,beam,94.9,2961,3,78.12,0.0,0.691,0.132,racing
1778050523.4426782,beam,128.28,3712,3,100.0,0.0,0.457,-0.422,racing
1778049864.7634976,beam,90.05,2601,3,30.55,0.0,0.176,0.888,normal
1778050285.4298956,beam,55.63,1736,3,19.44,0.0,0.13,2.175,normal
1778050686.422452,beam,24.54,770,2,0.0,0.0,-1.164,-0.598,racing
1778050971.912298,beam,80.69,3667,2,100.0,0.0,1.362,0.559,racing
1778050249.071463,beam,56.35,1661,3,14.29,0.0,-0.423,0.378,normal
1778050294.8253727,beam,58.96,1858,3,21.43,0.0,0.16,0.65,normal
1778050148.0902472,beam,63.54,1886,3,18.65,1.59,-0.027,4.134,normal
1778050617.1826222,beam,89.77,4006,2,100.0,0.0,1.437,-0.252,racing
1778049990.516839,beam,56.83,2077,3,33.73,0.0,0.492,-1.554,normal
1778051003.2244766,beam,75.86,3488,2,100.0,0.0,1.592,3.32,racing
1778049921.998012,beam,76.04,2259,3,26.98,0.0,0.14,1.881,normal
1778050726.0728357,beam,129.76,3658,3,49.6,0.0,0.122,-0.109,racing
1778050936.8407776,beam,96.72,2941,3,61.72,0.0,0.595,0.802,racing
1778050660.812036,beam,104.94,3059,3,48.41,0.0,0.29,-0.038,racing
1778049860.794539,beam,89.07,2573,3,29.76,0.0,0.207,0.847,normal
1778049898.0644226,beam,59.93,1803,3,18.25,0.0,-0.015,-0.366,normal
1778050553.5828233,beam,140.0,3729,3,0.0,50.78,-8.179,-35.951,racing
1778049851.997552,beam,85.06,2497,3,31.35,0.0,0.135,-0.219,normal
1778050811.579918,beam,130.0,5600,2,100.0,0.0,0.935,1.703,racing
1778050268.806655,beam,66.1,1860,3,13.49,0.0,0.349,0.876,normal
1778050199.808669,beam,54.64,1817,3,22.62,0.0,0.226,0.022,normal
